"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 30 22:00:35 CEST 2020","Wed Sep 30 22:00:37 CEST 2020","2155","","eBay Product Search","","eBay Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Wed Sep 30 22:00:40 CEST 2020","Wed Sep 30 22:00:41 CEST 2020","127","","eBay Product Search","","eBay Product Search","should update the search category","should update the search category",""
"passed","Wed Sep 30 22:00:40 CEST 2020","Wed Sep 30 22:00:40 CEST 2020","25","","eBay Product Search","","eBay Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"failed","Thu Oct 01 09:24:06 CEST 2020","Thu Oct 01 09:24:17 CEST 2020","10485","","Watches Pages","","Watches Pages","should show the header text","should show the header text",""
"passed","Thu Oct 01 09:24:00 CEST 2020","Thu Oct 01 09:24:06 CEST 2020","5865","","Watches Pages","","Watches Pages","should verify the watches category list","should verify the watches category list",""
"passed","Thu Oct 01 09:24:17 CEST 2020","Thu Oct 01 09:24:18 CEST 2020","1516","","Watches Pages","","Watches Pages","should click on the Jewelry & Watches button ","should click on the Jewelry & Watches button ",""
"passed","Thu Oct 01 09:24:17 CEST 2020","Thu Oct 01 09:24:17 CEST 2020","106","","Watches Pages","","Watches Pages","should contain link on shop by category menu item button and verify its clickable","should contain link on shop by category menu item button and verify its clickable",""
"passed","Wed Sep 30 22:00:37 CEST 2020","Wed Sep 30 22:00:40 CEST 2020","3423","","eBay Product Search","","eBay Product Search","should search for the product and verify the search text value","should search for the product and verify the search text value",""
"passed","Thu Oct 01 09:24:06 CEST 2020","Thu Oct 01 09:24:06 CEST 2020","96","","Watches Pages","","Watches Pages","should show the pahe header","should show the pahe header",""
"passed","Thu Oct 01 09:23:55 CEST 2020","Thu Oct 01 09:24:00 CEST 2020","5185","","Watches Pages","","Watches Pages","""before all"" hook for ""should verify the watches category list""","""before all"" hook for ""should verify the watches category list""",""
